issue_number;issue_url;title;domain;domain_source;author;created_at
184;https://github.com/svemailproject/TheySoldMyEmail/issues/184;https://www.etoro.com/;www.etoro.com;body;Bob-Nixkoenner;2025-11-04T17:37:26Z
183;https://github.com/svemailproject/TheySoldMyEmail/issues/183;https://www.flatex.de/;www.flatex.de;body;Bob-Nixkoenner;2025-11-04T17:36:42Z
182;https://github.com/svemailproject/TheySoldMyEmail/issues/182;https://scalable.capital/;www.de.scalable.capital;body;Bob-Nixkoenner;2025-11-04T17:35:52Z
181;https://github.com/svemailproject/TheySoldMyEmail/issues/181;https://traderepublic.com/;www.traderepublic.com;body;Bob-Nixkoenner;2025-11-04T17:35:25Z
180;https://github.com/svemailproject/TheySoldMyEmail/issues/180;https://www.kraken.com;www.kraken.com;body;Bob-Nixkoenner;2025-11-04T17:33:56Z
179;https://github.com/svemailproject/TheySoldMyEmail/issues/179;https://www.coinbase.com/;www.coinbase.com;body;Bob-Nixkoenner;2025-11-04T17:33:27Z
178;https://github.com/svemailproject/TheySoldMyEmail/issues/178;https://bitvavo.com/;www.bitvavo.com;body;Bob-Nixkoenner;2025-11-04T17:32:34Z
177;https://github.com/svemailproject/TheySoldMyEmail/issues/177;https://www.bitpanda.com/;www.bitpanda.com;body;Bob-Nixkoenner;2025-11-04T17:31:50Z
176;https://github.com/svemailproject/TheySoldMyEmail/issues/176;https://www.bitcoin.de/;www.bitcoin.de;body;Bob-Nixkoenner;2025-11-04T17:31:07Z
175;https://github.com/svemailproject/TheySoldMyEmail/issues/175;https://bisonapp.com/;www.bisonapp.com;body;Bob-Nixkoenner;2025-11-04T17:30:09Z
174;https://github.com/svemailproject/TheySoldMyEmail/issues/174;https://www.moebelix.at/;www.moebelix.at;body;Bob-Nixkoenner;2025-11-04T16:46:43Z
173;https://github.com/svemailproject/TheySoldMyEmail/issues/173;https://www.thalia.de/;www.thalia.de;body;Bob-Nixkoenner;2025-11-04T16:45:06Z
172;https://github.com/svemailproject/TheySoldMyEmail/issues/172;https://www.peek-cloppenburg.de/;www.peek-cloppenburg.de;body;Bob-Nixkoenner;2025-11-04T16:44:03Z
171;https://github.com/svemailproject/TheySoldMyEmail/issues/171;https://www.deichmann.com/;www.deichmann.com;body;Bob-Nixkoenner;2025-11-04T16:43:08Z
170;https://github.com/svemailproject/TheySoldMyEmail/issues/170;https://www.billa.at/;www.billa.at;body;Bob-Nixkoenner;2025-11-04T16:41:59Z
169;https://github.com/svemailproject/TheySoldMyEmail/issues/169;https://www.spar.at/;www.spar.at;body;Bob-Nixkoenner;2025-11-04T16:41:02Z
168;https://github.com/svemailproject/TheySoldMyEmail/issues/168;https://www.muenzeoesterreich.at/;www.muenzeoesterreich.at;body;Bob-Nixkoenner;2025-11-04T16:39:32Z
167;https://github.com/svemailproject/TheySoldMyEmail/issues/167;https://www.1ashop.at/;www.1ashop.at;body;Bob-Nixkoenner;2025-11-04T16:38:25Z
166;https://github.com/svemailproject/TheySoldMyEmail/issues/166;https://www.allnatura.de/;www.allnatura.de;body;Bob-Nixkoenner;2025-11-04T16:37:01Z
165;https://github.com/svemailproject/TheySoldMyEmail/issues/165;https://www.humanic.net/;www.humanic.net;body;Bob-Nixkoenner;2025-11-04T16:35:22Z
164;https://github.com/svemailproject/TheySoldMyEmail/issues/164;https://www.pagro.at/;www.pagro.at;body;Bob-Nixkoenner;2025-11-04T16:33:09Z
163;https://github.com/svemailproject/TheySoldMyEmail/issues/163;https://www.meindenns.de/;www.meindenns.de;body;Bob-Nixkoenner;2025-11-04T16:31:03Z
162;https://github.com/svemailproject/TheySoldMyEmail/issues/162;https://www.interdiscount.ch/;www.interdiscount.ch;body;Bob-Nixkoenner;2025-11-04T16:27:43Z
161;https://github.com/svemailproject/TheySoldMyEmail/issues/161;https://www.galaxus.ch/;www.galaxus.ch;body;Bob-Nixkoenner;2025-11-04T16:26:05Z
